job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
78ccb34c-cc0a-4824-854e-89a6310f83ee,Welder — Entry Level,welding_fabrication,construction,51-4121.00,"Welders, Cutters, Solderers, and Brazers",exact,Welder,2
809a42aa-52da-4100-a76e-7765effa23c0,Welder — Entry Level,welding_fabrication,construction,51-4121.00,"Welders, Cutters, Solderers, and Brazers",exact,Welder,2
407b9989-71f7-4145-89a1-440422fb8d02,Welder 1,welding_fabrication,construction,51-4121.00,"Welders, Cutters, Solderers, and Brazers",exact,Welder,2
ffb3176d-c61f-4abd-8b43-242c6466eb0a,Welder- Intermediate-2,welding_fabrication,construction,51-4121.00,"Welders, Cutters, Solderers, and Brazers",segment,Welder,2
b5a26d13-3f56-4004-8591-56c1e66fae5b,"Wind Hub Technician - CO LW (Grover, CO Area)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
b02f1e6a-a061-457e-bc5d-4660236b7507,"Wind Hub Technician - Idaho 1 (Idaho Falls, ID)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
38ba9878-ebfa-4b78-944f-2ad291b0bc6c,"Wind Hub Technician - NE 1 (Elgin, Nebraska)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
0ca58a9b-a419-436b-a0cf-5b5b8a9991e2,"Wind Hub Technician - NE1 (Broken Bow, Nebraska)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
17904ff7-a9e3-476f-a621-fc323dc9d767,Wind Hub Technician - NM (SunZia & Western Spirit),transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
917def9b-c006-4daa-9352-b308ede17b77,"Wind Hub Technician - OK 2 (Apache, OK Area)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
4a7d64eb-9602-4947-a5c5-2c6fd7e2c282,"Wind Hub Technician - Oregon 1 (Arlington, OR area)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
00b33858-0b92-4260-a9df-6e40a21b95f2,"Wind Hub Technician - Sweetwater 1, 2, & 3 (Leeward, TX Area)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
16e11222-e29b-4445-9c3f-0f8e8249cee4,"Wind Hub Technician - TX 10 (Amarillo, TX Area)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
2dea146e-18f7-4785-83de-aa6b92c60c51,"Wind Hub Technician - TX 10 (Amarillo, TX Area)",utility_public_works,public_safety,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
